[+00:00:00 | ~--:--:-- left] Device: cuda
Computing baselines (100 episodes each)...
  Random baseline: 56.0% ± 18.0%
  Greedy baseline: 80.1% ± 12.0%
[+00:03:29 | ~01:29:27 left] [Ep 189] Reward: 309.30 | Coverage: 63.4% | Eps: 0.955 | Loss: 0.0000
[+00:03:30 | ~01:29:25 left] [Ep 190] Reward: 511.19 | Coverage: 57.9% | Eps: 0.955 | Loss: 0.0000
[+00:03:31 | ~01:29:24 left] [Ep 191] Reward: 400.35 | Coverage: 51.3% | Eps: 0.955 | Loss: 0.0000
[+00:03:32 | ~01:29:23 left] [Ep 192] Reward: 529.72 | Coverage: 63.0% | Eps: 0.954 | Loss: 0.0000
[+00:03:33 | ~01:29:22 left] [Ep 193] Reward: 353.62 | Coverage: 51.0% | Eps: 0.954 | Loss: 0.0000
[+00:03:34 | ~01:29:21 left] [Ep 194] Reward: 426.65 | Coverage: 43.0% | Eps: 0.954 | Loss: 0.0000
[+00:03:35 | ~01:29:20 left] [Ep 195] Reward: 454.16 | Coverage: 69.3% | Eps: 0.954 | Loss: 0.0000
[+00:03:36 | ~01:29:19 left] [Ep 196] Reward: 160.11 | Coverage: 43.9% | Eps: 0.953 | Loss: 0.0000
[+00:03:38 | ~01:29:17 left] [Ep 197] Reward: 378.66 | Coverage: 60.2% | Eps: 0.953 | Loss: 0.0000
[+00:03:39 | ~01:29:16 left] [Ep 198] Reward: 479.88 | Coverage: 62.1% | Eps: 0.953 | Loss: 0.0000
[+00:03:40 | ~01:29:15 left] [Ep 199] Reward: 281.22 | Coverage: 57.1% | Eps: 0.953 | Loss: 0.0000
